,path,name,continent,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,religions,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,economicblocs,linguisticblocs,militarydefenseblocs,politicalregionalblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7441404981,7441404981,,,,2023-03-11T07:51:00,2023-03-11T07:51:00,,0,eng,,devdiscourse.com,,,,,,,,,,,,,,,,,,,,,,,,
2,/Event/7441404981/7441426445,7441426445,AS,IN,C18,2023-03-11T07:51:00,2023-03-11T08:10:00,C17,7441404981,eng,,deccanherald.com,,Hindu,,,,,,,,,,,,,,,,,,,,,,
3,/Event/7441404981/7441426445/7443032267,7443032267,AS,ID,C18,2023-03-11T08:10:00,2023-03-12T12:57:00,C18,7441404981,eng,Center-left,thejakartapost.com,https:en.wikipedia.orgwikiThe_Jakarta_Post,Muslim,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,ASEAN,,,
4,/Event/7441404981/7441435057,7441435057,AS,TH,C20,2023-03-11T07:51:00,2023-03-11T08:18:00,C9,7441404981,eng,Center-right,bangkokpost.com,ChatGPT,Buddhist,,,,,,,,,,,,,,,,,,,ASEAN,,,
5,/Event/7441404981/7441435057/7441514048,7441514048,,,,2023-03-11T08:18:00,2023-03-11T09:30:00,,7441404981,eng,,english.news.cn,,,40.0,72.0,64.0,114.0,31.0,20.0,45.0,46.0,69.0,32.0,51.0,34.0,111.0,118.0,64.0,117.0,28.0,64.0,,,,
6,/Event/7441404981/7441435057/7441520859,7441520859,,,,2023-03-11T08:18:00,2023-03-11T09:38:00,,7441404981,eng,,nampa.org,,,40.0,72.0,64.0,114.0,31.0,20.0,45.0,46.0,69.0,32.0,51.0,34.0,111.0,118.0,64.0,117.0,28.0,64.0,,,,
7,/Event/7441404981/7441435057/7441520859/7441985730,7441985730,AS,ID,C18,2023-03-11T09:38:00,2023-03-11T16:40:00,C18,7441404981,eng,,en.tempo.co,,Muslim,,,,,,,,,,,,,,,,,,,ASEAN,,,
8,/Event/7441404981/7441435057/7441570806,7441570806,,USA,C4,2023-03-11T08:18:00,2023-03-11T10:21:00,C2,7441404981,eng,,wtop.com,,Christian,40.0,72.0,64.0,114.0,31.0,20.0,45.0,46.0,69.0,32.0,51.0,34.0,111.0,118.0,64.0,117.0,28.0,64.0,NAFTA,Eng,NATO,
9,/Event/7441404981/7441435057/7441573643,7441573643,,USA,C4,2023-03-11T08:18:00,2023-03-11T10:23:00,C2,7441404981,eng,,beaumontenterprise.com,,Christian,40.0,72.0,64.0,114.0,31.0,20.0,45.0,46.0,69.0,32.0,51.0,34.0,111.0,118.0,64.0,117.0,28.0,64.0,NAFTA,Eng,NATO,
10,/Event/7441404981/7441435057/7441604880,7441604880,EU,IE,C4,2023-03-11T08:18:00,2023-03-11T10:52:00,C2,7441404981,eng,,independent.ie,,Christian,40.0,72.0,64.0,114.0,31.0,20.0,45.0,46.0,69.0,32.0,51.0,34.0,111.0,118.0,64.0,117.0,28.0,64.0,EU,Eng,,
11,/Event/7441404981/7441435057/7441621983,7441621983,AS,AE,C19,2023-03-11T08:18:00,2023-03-11T11:07:00,C9,7441404981,eng,Pro-government,thenationalnews.com,https:en.wikipedia.orgwikiThe_National_(Abu_Dhabi),Muslim,40.0,72.0,64.0,114.0,31.0,20.0,45.0,46.0,69.0,32.0,51.0,34.0,111.0,118.0,64.0,117.0,28.0,64.0,?,Ara,?,AL
12,/Event/7441404981/7441435057/7441698719,7441698719,,,,2023-03-11T08:18:00,2023-03-11T12:15:00,,7441404981,eng,,rocketnews.com,,,40.0,72.0,64.0,114.0,31.0,20.0,45.0,46.0,69.0,32.0,51.0,34.0,111.0,118.0,64.0,117.0,28.0,64.0,,,,
13,/Event/7441404981/7441435057/7441755328,7441755328,,,,2023-03-11T08:18:00,2023-03-11T13:05:00,,7441404981,eng,,daily-sun.com,,,40.0,72.0,64.0,114.0,31.0,20.0,45.0,46.0,69.0,32.0,51.0,34.0,111.0,118.0,64.0,117.0,28.0,64.0,,,,
14,/Event/7441404981/7441435057/7441883992,7441883992,AF,EG,C19,2023-03-11T08:18:00,2023-03-11T15:05:00,C5,7441404981,eng,Uncertain,english.ahram.org.eg,https:en.wikipedia.orgwikiAl-Ahram,Muslim,40.0,72.0,64.0,114.0,31.0,20.0,45.0,46.0,69.0,32.0,51.0,34.0,111.0,118.0,64.0,117.0,28.0,64.0,AfCFTA,Ara,,AU
15,/Event/7441404981/7441435057/7442203582,7442203582,AS,IN,C18,2023-03-11T08:18:00,2023-03-11T20:35:00,C17,7441404981,eng,Center-right,timesofindia.indiatimes.com,ChatGPT,Hindu,40.0,72.0,64.0,114.0,31.0,20.0,45.0,46.0,69.0,32.0,51.0,34.0,111.0,118.0,64.0,117.0,28.0,64.0,,,,
16,/Event/7441404981/7441435057/7442215849,7442215849,,,,2023-03-11T08:18:00,2023-03-11T20:54:00,,7441404981,eng,,theprint.in,,,40.0,72.0,64.0,114.0,31.0,20.0,45.0,46.0,69.0,32.0,51.0,34.0,111.0,118.0,64.0,117.0,28.0,64.0,,,,
17,/Event/7441404981/7441435057/7442427350,7442427350,AS,IN,C18,2023-03-11T08:18:00,2023-03-12T02:00:00,C17,7441404981,eng,,indiatvnews.com,,Hindu,40.0,72.0,64.0,114.0,31.0,20.0,45.0,46.0,69.0,32.0,51.0,34.0,111.0,118.0,64.0,117.0,28.0,64.0,,,,
18,/Event/7441404981/7441435057/7446355978,7446355978,AS,MY,C18,2023-03-11T08:18:00,2023-03-14T12:25:00,C9,7441404981,eng,Center-right,thestar.com.my,ChatGPT,Muslim,40.0,72.0,64.0,114.0,31.0,20.0,45.0,46.0,69.0,32.0,51.0,34.0,111.0,118.0,64.0,117.0,28.0,64.0,ASEAN,,,
19,/Event/7441404981/7441435057/7446374507,7446374507,,,,2023-03-11T08:18:00,2023-03-14T12:37:00,,7441404981,eng,,realnewsmagazine.net,,,40.0,72.0,64.0,114.0,31.0,20.0,45.0,46.0,69.0,32.0,51.0,34.0,111.0,118.0,64.0,117.0,28.0,64.0,,,,
20,/Event/7441404981/7441435057/7446538058,7446538058,,,,2023-03-11T08:18:00,2023-03-14T14:14:00,,7441404981,eng,,english.news.cn,,,40.0,72.0,64.0,114.0,31.0,20.0,45.0,46.0,69.0,32.0,51.0,34.0,111.0,118.0,64.0,117.0,28.0,64.0,,,,
