,path,name,continent,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,economicblocs,linguisticblocs,militarydefenseblocs,politicalregionalblocs,religions,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7444355414,7444355414,,,,2023-03-13T10:24:00,2023-03-13T10:24:00,,0,rus,,sports.ru,,,,,,,,,,,,,,,,,,,,,,,,
2,/Event/7444355414/7444364876,7444364876,,,,2023-03-13T10:24:00,2023-03-13T10:27:00,,7444355414,rus,,matchtv.ru,,,,,,,,,,,,,,,,,,,,,,,,
3,/Event/7444355414/7444364876/7444415997,7444415997,AS,RU,C16,2023-03-13T10:27:00,2023-03-13T11:00:00,C12,7444355414,rus,?,russian.rt.com,?,?,?,CSTO,CIS,Christian,,,,,,,,,,,,,,,,,,
4,/Event/7444355414/7444364876/7444430940,7444430940,AS,RU,C16,2023-03-13T10:27:00,2023-03-13T11:08:00,C12,7444355414,rus,Independent,mk.ru,ChatGPT,?,?,CSTO,CIS,Christian,,,,,,,,,,,,,,,,,,
5,/Event/7444355414/7444364876/7444435088,7444435088,,,,2023-03-13T10:27:00,2023-03-13T11:12:00,,7444355414,rus,,ntv.ru,,,,,,,,,,,,,,,,,,,,,,,,
6,/Event/7444355414/7444364876/7444463761,7444463761,,,,2023-03-13T10:27:00,2023-03-13T11:29:00,,7444355414,rus,,sportmk.ru,,,,,,,,,,,,,,,,,,,,,,,,
7,/Event/7444355414/7444364876/7444463761/7446311166,7446311166,,,,2023-03-13T11:29:00,2023-03-14T11:59:00,,7444355414,rus,,fontanka.ru,,,,,,,,,,,,,,,,,,,,,,,,
8,/Event/7444355414/7444364876/7444475424,7444475424,AS,RU,C16,2023-03-13T10:27:00,2023-03-13T11:35:00,C12,7444355414,rus,Independent,kommersant.ru,ChatGPT,?,?,CSTO,CIS,Christian,,,,,,,,,,,,,,,,,,
9,/Event/7444355414/7444364876/7444487879,7444487879,,,,2023-03-13T10:27:00,2023-03-13T11:44:00,,7444355414,rus,,matchtv.ru,,,,,,,,,,,,,,,,,,,,,,,,
10,/Event/7444355414/7444364876/7444499119,7444499119,,,,2023-03-13T10:27:00,2023-03-13T11:49:00,,7444355414,rus,,news.sportbox.ru,,,,,,,,,,,,,,,,,,,,,,,,
11,/Event/7444355414/7444364876/7444509683,7444509683,,,,2023-03-13T10:27:00,2023-03-13T11:56:00,,7444355414,rus,,sports.ru,,,,,,,,,,,,,,,,,,,,,,,,
12,/Event/7444355414/7444364876/7444523471,7444523471,,,,2023-03-13T10:27:00,2023-03-13T12:04:00,,7444355414,rus,,matchtv.ru,,,,,,,,,,,,,,,,,,,,,,,,
13,/Event/7444355414/7444364876/7444536765,7444536765,AS,RU,C16,2023-03-13T10:27:00,2023-03-13T12:12:00,C12,7444355414,rus,?,ng.ru,?,?,?,CSTO,CIS,Christian,,,,,,,,,,,,,,,,,,
14,/Event/7444355414/7444364876/7444582716,7444582716,,,,2023-03-13T10:27:00,2023-03-13T12:41:00,,7444355414,rus,,tsn.ua,,,,,,,,,,,,,,,,,,,,,,,,
