,path,name,continent,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,linguisticblocs,militarydefenseblocs,religions,politicalregionalblocs,economicblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/912406270,912406270,EU,UK,C4,2018-07-25T10:36:00,2018-07-25T10:36:00,C2,0,eng,Center,independent.co.uk,ChatGPT,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,Eng,NATO,Christian,,
2,/Event/912406270/912481254,912481254,AS,QA,C19,2018-07-25T10:36:00,2018-07-25T12:32:00,C9,912406270,eng,pro-Qatari-government-Arab-nationalist,aljazeera.com,ChatGPT,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0,Ara,,Muslim,AL,
3,/Event/912406270/912481254/912969793,912969793,,USA,C4,2018-07-25T12:32:00,2018-07-26T04:07:00,C2,912406270,eng,,ozy.com,,13.0,60.0,26.0,47.0,38.0,25.0,0.0,43.0,48.0,0.0,36.0,55.0,134.0,149.0,93.0,23.0,51.0,80.0,Eng,NATO,Christian,,NAFTA
4,/Event/912406270/912481254/912969793/913052348,913052348,AS,IN,C18,2018-07-26T04:07:00,2018-07-26T07:12:00,C17,912406270,eng,,firstpost.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,Hindu,,
5,/Event/912406270/912481254/912969793/913052348/913088491,913088491,AS,IN,C18,2018-07-26T07:12:00,2018-07-26T08:17:00,C17,912406270,eng,,firstpost.com,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0,,,Hindu,,
6,/Event/912406270/912481254/912969793/913174254,913174254,AF,ZA,C4,2018-07-26T04:07:00,2018-07-26T08:36:00,C17,912406270,eng,,iol.co.za,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,Christian,AU,AfCFTA
7,/Event/912406270/912481254/912969793/913174254/913129429,913129429,,,,2018-07-26T08:36:00,2018-07-26T09:27:00,,912406270,eng,,piratefm.co.uk,,74.0,102.0,63.0,49.0,129.0,65.0,63.0,48.0,102.0,34.0,68.0,63.0,140.0,38.0,49.0,136.0,40.0,49.0,,,,,
8,/Event/912406270/912481254/912969793/913127045,913127045,AF,UG,,2018-07-26T04:07:00,2018-07-26T09:01:00,C5,912406270,eng,,monitor.co.ug,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,Christian,AU,AfCFTA
9,/Event/912406270/912481254/912969793/913256555,913256555,,,,2018-07-26T04:07:00,2018-07-26T12:47:00,,912406270,eng,,southasiajournal.net,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,
10,/Event/912406270/912481254/912969793/913265308,913265308,EU,UK,C4,2018-07-26T04:07:00,2018-07-26T13:00:00,C2,912406270,eng,Center-left,express.co.uk,ChatGPT,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,Eng,NATO,Christian,,
11,/Event/912406270/912481254/912969793/913296146,913296146,AS,IN,C18,2018-07-26T04:07:00,2018-07-26T13:46:00,C17,912406270,eng,,newindianexpress.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,Hindu,,
12,/Event/912406270/912481254/912969793/913644908,913644908,AS,SA,C15,2018-07-26T04:07:00,2018-07-27T00:14:00,C9,912406270,eng,Center,arabnews.com,ChatGPT,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,Ara,,Muslim,AL,
