,path,name,continent,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,economicblocs,linguisticblocs,militarydefenseblocs,religions,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7373367503,7373367503,,,,2023-01-29T12:45:00,2023-01-29T12:45:00,,0,eng,,crypto-reporter.com,,,,,,,,,,,,,,,,,,,,,,,
2,/Event/7373367503/7373367502,7373367502,,,,2023-01-29T12:45:00,2023-01-29T12:46:00,,7373367503,eng,,crypto-reporter.com,,,,,,,,,,,,,,,,,,,,,,,
3,/Event/7373367503/7373367502/7375125699,7375125699,,,,2023-01-29T12:46:00,2023-01-30T15:05:00,,7373367503,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
4,/Event/7373367503/7373367502/7375125699/7375136158,7375136158,,,,2023-01-30T15:05:00,2023-01-30T15:13:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
5,/Event/7373367503/7373367502/7375125699/7375159797,7375159797,,,,2023-01-30T15:05:00,2023-01-30T15:31:00,,7373367503,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
6,/Event/7373367503/7373367502/7375125699/7375195727,7375195727,,,,2023-01-30T15:05:00,2023-01-30T15:54:00,,7373367503,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
7,/Event/7373367503/7373367502/7375125699/7375214884,7375214884,,,,2023-01-30T15:05:00,2023-01-30T16:02:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
8,/Event/7373367503/7373367502/7375125699/7375216784,7375216784,,,,2023-01-30T15:05:00,2023-01-30T16:08:00,,7373367503,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
9,/Event/7373367503/7373367502/7375125699/7375260603,7375260603,,,,2023-01-30T15:05:00,2023-01-30T16:40:00,,7373367503,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
10,/Event/7373367503/7373367502/7375125699/7375260627,7375260627,,,,2023-01-30T15:05:00,2023-01-30T16:40:00,,7373367503,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
11,/Event/7373367503/7373367502/7375125699/7375273410,7375273410,,,,2023-01-30T15:05:00,2023-01-30T16:45:00,,7373367503,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
12,/Event/7373367503/7373367502/7375125699/7375276744,7375276744,,,,2023-01-30T15:05:00,2023-01-30T16:46:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
13,/Event/7373367503/7373367502/7375125699/7375291490,7375291490,,,,2023-01-30T15:05:00,2023-01-30T16:56:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
14,/Event/7373367503/7373367502/7375125699/7375307293,7375307293,,,,2023-01-30T15:05:00,2023-01-30T17:11:00,,7373367503,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
15,/Event/7373367503/7373367502/7375125699/7375326419,7375326419,,,,2023-01-30T15:05:00,2023-01-30T17:21:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
16,/Event/7373367503/7373367502/7375125699/7376606403,7376606403,,,,2023-01-30T15:05:00,2023-01-31T11:50:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
17,/Event/7373367503/7373367502/7375125699/7376684214,7376684214,,,,2023-01-30T15:05:00,2023-01-31T12:33:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
18,/Event/7373367503/7373367502/7375125699/7376749179,7376749179,,USA,C4,2023-01-30T15:05:00,2023-01-31T13:12:00,C2,7373367503,eng,,finance.yahoo.com,,NAFTA,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,
19,/Event/7373367503/7373367502/7375125699/7376749205,7376749205,,USA,C4,2023-01-30T15:05:00,2023-01-31T13:14:00,C2,7373367503,eng,,finance.yahoo.com,,NAFTA,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,
20,/Event/7373367503/7373367502/7375125699/7376813398,7376813398,,,,2023-01-30T15:05:00,2023-01-31T13:51:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
21,/Event/7373367503/7373367502/7375125699/7376813343,7376813343,,,,2023-01-30T15:05:00,2023-01-31T13:53:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
22,/Event/7373367503/7373367502/7375125699/7376833427,7376833427,,,,2023-01-30T15:05:00,2023-01-31T14:06:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
23,/Event/7373367503/7373367502/7375125699/7376886324,7376886324,,USA,C4,2023-01-30T15:05:00,2023-01-31T14:34:00,C2,7373367503,eng,,finance.yahoo.com,,NAFTA,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,
24,/Event/7373367503/7373367502/7375125699/7376931904,7376931904,,,,2023-01-30T15:05:00,2023-01-31T15:03:00,,7373367503,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
25,/Event/7373367503/7373367502/7375125699/7376931111,7376931111,,,,2023-01-30T15:05:00,2023-01-31T15:05:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
26,/Event/7373367503/7373367502/7375125699/7376933416,7376933416,,USA,C4,2023-01-30T15:05:00,2023-01-31T15:09:00,C2,7373367503,eng,,finance.yahoo.com,,NAFTA,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,
27,/Event/7373367503/7373367502/7375125699/7376953072,7376953072,,,,2023-01-30T15:05:00,2023-01-31T15:13:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
28,/Event/7373367503/7373367502/7375125699/7376972103,7376972103,,,,2023-01-30T15:05:00,2023-01-31T15:29:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
29,/Event/7373367503/7373367502/7375125699/7378378480,7378378480,,,,2023-01-30T15:05:00,2023-02-01T11:01:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
30,/Event/7373367503/7373367502/7375125699/7378445407,7378445407,,,,2023-01-30T15:05:00,2023-02-01T11:39:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
31,/Event/7373367503/7373367502/7375125699/7378464667,7378464667,,,,2023-01-30T15:05:00,2023-02-01T11:51:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
32,/Event/7373367503/7373367502/7375125699/7378481810,7378481810,,,,2023-01-30T15:05:00,2023-02-01T12:02:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
33,/Event/7373367503/7373367502/7375125699/7378546777,7378546777,,,,2023-01-30T15:05:00,2023-02-01T12:41:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
34,/Event/7373367503/7373367502/7375125699/7378636494,7378636494,,,,2023-01-30T15:05:00,2023-02-01T13:33:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
35,/Event/7373367503/7373367502/7375125699/7378712929,7378712929,,,,2023-01-30T15:05:00,2023-02-01T14:18:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
36,/Event/7373367503/7373367502/7375125699/7378724256,7378724256,,,,2023-01-30T15:05:00,2023-02-01T14:25:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
37,/Event/7373367503/7373367502/7375125699/7378736177,7378736177,,,,2023-01-30T15:05:00,2023-02-01T14:32:00,,7373367503,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
38,/Event/7373367503/7373367502/7375125699/7378759975,7378759975,,,,2023-01-30T15:05:00,2023-02-01T14:46:00,,7373367503,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
39,/Event/7373367503/7373367502/7375125699/7378878187,7378878187,,,,2023-01-30T15:05:00,2023-02-01T15:59:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
40,/Event/7373367503/7373367502/7375250178,7375250178,,,,2023-01-29T12:46:00,2023-01-30T16:27:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
41,/Event/7373367503/7373367502/7375250178/7378806064,7378806064,,,,2023-01-30T16:27:00,2023-02-01T15:14:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
42,/Event/7373367503/7373367502/7375316634,7375316634,,,,2023-01-29T12:46:00,2023-01-30T17:14:00,,7373367503,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
43,/Event/7373367503/7373367502/7375316634/7376942504,7376942504,,,,2023-01-30T17:14:00,2023-01-31T15:10:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
44,/Event/7373367503/7373367502/7376785751,7376785751,,,,2023-01-29T12:46:00,2023-01-31T13:36:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
45,/Event/7373367503/7373367502/7376785751/7378537863,7378537863,,,,2023-01-31T13:36:00,2023-02-01T12:35:00,,7373367503,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
46,/Event/7373367503/7373367502/7376785751/7378645209,7378645209,,,,2023-01-31T13:36:00,2023-02-01T13:37:00,,7373367503,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
47,/Event/7373367503/7373367502/7376785751/7378897372,7378897372,,,,2023-01-31T13:36:00,2023-02-01T16:11:00,,7373367503,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
48,/Event/7373367503/7373367502/7377499683,7377499683,,USA,C4,2023-01-29T12:46:00,2023-01-31T22:16:00,C2,7373367503,eng,,finance.yahoo.com,,NAFTA,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,
49,/Event/7373367503/7373367502/7378660294,7378660294,,,,2023-01-29T12:46:00,2023-02-01T13:47:00,,7373367503,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
50,/Event/7373367503/7374642451,7374642451,,,,2023-01-29T12:45:00,2023-01-30T10:04:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
51,/Event/7373367503/7374642451/7374728095,7374728095,,,,2023-01-30T10:04:00,2023-01-30T10:58:00,,7373367503,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
52,/Event/7373367503/7374642451/7375047191,7375047191,,,,2023-01-30T10:04:00,2023-01-30T14:16:00,,7373367503,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
53,/Event/7373367503/7374642451/7375047191/7375057633,7375057633,,,,2023-01-30T14:16:00,2023-01-30T14:20:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
54,/Event/7373367503/7374642451/7375047191/7375074915,7375074915,,,,2023-01-30T14:16:00,2023-01-30T14:32:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
55,/Event/7373367503/7374642451/7375047191/7375081676,7375081676,,,,2023-01-30T14:16:00,2023-01-30T14:37:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
56,/Event/7373367503/7374642451/7375047191/7375090332,7375090332,,,,2023-01-30T14:16:00,2023-01-30T14:47:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
57,/Event/7373367503/7374642451/7375047191/7375107634,7375107634,,,,2023-01-30T14:16:00,2023-01-30T14:53:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
58,/Event/7373367503/7374642451/7375082942,7375082942,,,,2023-01-30T10:04:00,2023-01-30T14:39:00,,7373367503,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
59,/Event/7373367503/7374642451/7375082942/7375225607,7375225607,,,,2023-01-30T14:39:00,2023-01-30T16:14:00,,7373367503,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,
