,path,name,continent,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,economicblocs,linguisticblocs,militarydefenseblocs,religions,politicalregionalblocs
0,/Event,Event,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/Event/7441934337,7441934337,,USA,C4,2023-03-11T15:53:00,2023-03-11T15:53:00,C2,0,eng,Center-left,foxnews.com,ChatGPT,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,NAFTA,Eng,NATO,Christian,
2,/Event/7441934337/7441994513,7441994513,,,,2023-03-11T15:53:00,2023-03-11T16:49:00,,7441934337,eng,,sports.yahoo.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,
3,/Event/7441934337/7441994513/7442288811,7442288811,,,,2023-03-11T16:49:00,2023-03-11T22:30:00,,7441934337,eng,,kion546.com,,,,,,,,,,,,,,,,,,,,,,,,
4,/Event/7441934337/7441994513/7442499065,7442499065,,,,2023-03-11T16:49:00,2023-03-12T03:53:00,,7441934337,eng,,sputniknews.com,,,,,,,,,,,,,,,,,,,,,,,,
5,/Event/7441934337/7441994513/7442682990,7442682990,,USA,C4,2023-03-11T16:49:00,2023-03-12T07:32:00,C2,7441934337,eng,,siouxcityjournal.com,,,,,,,,,,,,,,,,,,,,NAFTA,Eng,NATO,Christian,
6,/Event/7441934337/7441994513/7443462105,7443462105,,USA,C4,2023-03-11T16:49:00,2023-03-12T19:57:00,C2,7441934337,eng,,qctimes.com,,,,,,,,,,,,,,,,,,,,NAFTA,Eng,NATO,Christian,
7,/Event/7441934337/7441994513/7443788583,7443788583,,USA,C4,2023-03-11T16:49:00,2023-03-13T02:40:00,C2,7441934337,eng,Center-left,cbsnews.com,ChatGPT,,,,,,,,,,,,,,,,,,,NAFTA,Eng,NATO,Christian,
8,/Event/7441934337/7441994513/7443800966,7443800966,,USA,C4,2023-03-11T16:49:00,2023-03-13T02:55:00,C2,7441934337,eng,,messenger-inquirer.com,,,,,,,,,,,,,,,,,,,,NAFTA,Eng,NATO,Christian,
9,/Event/7441934337/7441994513/7444880592,7444880592,AS,PH,C18,2023-03-11T16:49:00,2023-03-13T15:45:00,C18,7441934337,eng,Center-right,manilatimes.net,ChatGPT,,,,,,,,,,,,,,,,,,,ASEAN,,,Christian,
10,/Event/7441934337/7441994513/7445489093,7445489093,,USA,C4,2023-03-11T16:49:00,2023-03-14T00:52:00,C2,7441934337,eng,,eastbaytimes.com,,,,,,,,,,,,,,,,,,,,NAFTA,Eng,NATO,Christian,
11,/Event/7441934337/7441994513/7445967417,7445967417,,USA,C4,2023-03-11T16:49:00,2023-03-14T08:29:00,C2,7441934337,eng,,newsadvance.com,,,,,,,,,,,,,,,,,,,,NAFTA,Eng,NATO,Christian,
12,/Event/7441934337/7441994513/7446041167,7446041167,,USA,C4,2023-03-11T16:49:00,2023-03-14T09:18:00,C2,7441934337,eng,,wcfcourier.com,,,,,,,,,,,,,,,,,,,,NAFTA,Eng,NATO,Christian,
13,/Event/7441934337/7441994513/7446170732,7446170732,,USA,C4,2023-03-11T16:49:00,2023-03-14T10:35:00,C2,7441934337,eng,,journalnow.com,,,,,,,,,,,,,,,,,,,,NAFTA,Eng,NATO,Christian,
14,/Event/7441934337/7441994513/7446189496,7446189496,,USA,C4,2023-03-11T16:49:00,2023-03-14T10:46:00,C2,7441934337,eng,,siouxcityjournal.com,,,,,,,,,,,,,,,,,,,,NAFTA,Eng,NATO,Christian,
15,/Event/7441934337/7441994513/7447978663,7447978663,,,,2023-03-11T16:49:00,2023-03-15T10:14:00,,7441934337,eng,,kqed.org,,,,,,,,,,,,,,,,,,,,,,,,
16,/Event/7441934337/7442010824,7442010824,,USA,C4,2023-03-11T15:53:00,2023-03-11T17:04:00,C2,7441934337,eng,,abcnews.go.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,NAFTA,Eng,NATO,Christian,
17,/Event/7441934337/7442010824/7442142375,7442142375,,,,2023-03-11T17:04:00,2023-03-11T19:21:00,,7441934337,eng,,nbcbayarea.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,
18,/Event/7441934337/7442010824/7442377148,7442377148,,,,2023-03-11T17:04:00,2023-03-12T00:39:00,,7441934337,eng,,santacruzsentinel.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,
19,/Event/7441934337/7442010824/7442662090,7442662090,,USA,C4,2023-03-11T17:04:00,2023-03-12T07:13:00,C2,7441934337,eng,,pantagraph.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,NAFTA,Eng,NATO,Christian,
20,/Event/7441934337/7442010824/7445955403,7445955403,,USA,C4,2023-03-11T17:04:00,2023-03-14T08:24:00,C2,7441934337,eng,,roanoke.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,NAFTA,Eng,NATO,Christian,
21,/Event/7441934337/7442010824/7446698813,7446698813,,,,2023-03-11T17:04:00,2023-03-14T15:55:00,,7441934337,eng,,mooresvilletribune.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,
22,/Event/7441934337/7442010824/7447120881,7447120881,,USA,C4,2023-03-11T17:04:00,2023-03-14T21:13:00,C2,7441934337,eng,,latimes.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,NAFTA,Eng,NATO,Christian,
23,/Event/7441934337/7442010824/7447145794,7447145794,,,,2023-03-11T17:04:00,2023-03-14T21:38:00,,7441934337,eng,,muscatinejournal.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,
24,/Event/7441934337/7442020233,7442020233,,,,2023-03-11T15:53:00,2023-03-11T17:16:00,,7441934337,eng,,msn.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,
25,/Event/7441934337/7442020233/7442465613,7442465613,,,,2023-03-11T17:16:00,2023-03-12T03:02:00,,7441934337,eng,,nampa.org,,,,,,,,,,,,,,,,,,,,,,,,
26,/Event/7441934337/7442020233/7443906822,7443906822,,,,2023-03-11T17:16:00,2023-03-13T04:51:00,,7441934337,eng,,msn.com,,,,,,,,,,,,,,,,,,,,,,,,
27,/Event/7441934337/7442034026,7442034026,,,,2023-03-11T15:53:00,2023-03-11T17:34:00,,7441934337,eng,,kion546.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,
28,/Event/7441934337/7442034026/7443364678,7443364678,,,,2023-03-11T17:34:00,2023-03-12T18:10:00,,7441934337,eng,,businessinsider.nl,,,,,,,,,,,,,,,,,,,,,,,,
29,/Event/7441934337/7442034026/7444725489,7444725489,,USA,C4,2023-03-11T17:34:00,2023-03-13T14:07:00,C2,7441934337,eng,Center-left,cbsnews.com,ChatGPT,,,,,,,,,,,,,,,,,,,NAFTA,Eng,NATO,Christian,
30,/Event/7441934337/7442034026/7447122154,7447122154,,,,2023-03-11T17:34:00,2023-03-14T21:16:00,,7441934337,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,
31,/Event/7441934337/7442043347,7442043347,,,,2023-03-11T15:53:00,2023-03-11T17:37:00,,7441934337,eng,,msn.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,
32,/Event/7441934337/7442062647,7442062647,,,,2023-03-11T15:53:00,2023-03-11T17:56:00,,7441934337,eng,,mercurynews.com,,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,,,,,
33,/Event/7441934337/7442062647/7442337569,7442337569,,USA,C4,2023-03-11T17:56:00,2023-03-11T23:44:00,C2,7441934337,eng,,siouxcityjournal.com,,,,,,,,,,,,,,,,,,,,NAFTA,Eng,NATO,Christian,
34,/Event/7441934337/7442062647/7442462317,7442462317,,USA,C4,2023-03-11T17:56:00,2023-03-12T02:59:00,C2,7441934337,eng,,newsadvance.com,,,,,,,,,,,,,,,,,,,,NAFTA,Eng,NATO,Christian,
35,/Event/7441934337/7442062647/7442587639,7442587639,,USA,C4,2023-03-11T17:56:00,2023-03-12T05:51:00,C2,7441934337,eng,,lacrossetribune.com,,,,,,,,,,,,,,,,,,,,NAFTA,Eng,NATO,Christian,
36,/Event/7441934337/7442062647/7442660182,7442660182,,USA,C4,2023-03-11T17:56:00,2023-03-12T07:13:00,C2,7441934337,eng,,roanoke.com,,,,,,,,,,,,,,,,,,,,NAFTA,Eng,NATO,Christian,
37,/Event/7441934337/7442062647/7443206604,7443206604,,,,2023-03-11T17:56:00,2023-03-12T15:38:00,,7441934337,eng,,journalstar.com,,,,,,,,,,,,,,,,,,,,,,,,
38,/Event/7441934337/7442062647/7443325155,7443325155,,USA,C4,2023-03-11T17:56:00,2023-03-12T17:30:00,C2,7441934337,eng,,wcfcourier.com,,,,,,,,,,,,,,,,,,,,NAFTA,Eng,NATO,Christian,
39,/Event/7441934337/7442062647/7443340874,7443340874,EU,UK,C4,2023-03-11T17:56:00,2023-03-12T17:45:00,C2,7441934337,eng,Center-left,theguardian.com,ChatGPT,,,,,,,,,,,,,,,,,,,,Eng,NATO,Christian,
40,/Event/7441934337/7442062647/7443424041,7443424041,,,,2023-03-11T17:56:00,2023-03-12T19:14:00,,7441934337,eng,,muscatinejournal.com,,,,,,,,,,,,,,,,,,,,,,,,
41,/Event/7441934337/7442062647/7446632182,7446632182,,,,2023-03-11T17:56:00,2023-03-14T15:10:00,,7441934337,eng,,cbn.com,,,,,,,,,,,,,,,,,,,,,,,,
42,/Event/7441934337/7442062647/7447308709,7447308709,,,,2023-03-11T17:56:00,2023-03-15T00:30:00,,7441934337,eng,,nbcbayarea.com,,,,,,,,,,,,,,,,,,,,,,,,
43,/Event/7441934337/7442062647/7447982056,7447982056,,,,2023-03-11T17:56:00,2023-03-15T10:16:00,,7441934337,eng,,rocketnews.com,,,,,,,,,,,,,,,,,,,,,,,,
44,/Event/7441934337/7442079095,7442079095,,USA,C4,2023-03-11T15:53:00,2023-03-11T18:13:00,C2,7441934337,eng,Center-left,cbsnews.com,ChatGPT,16.0,20.0,3.0,23.0,69.0,91.0,68.0,17.0,29.0,26.0,4.0,62.0,28.0,29.0,40.0,69.0,9.0,46.0,NAFTA,Eng,NATO,Christian,
